Rank,Player,Position,2010 Team,2011 Team,Reference,Year,2012 Team,Rank Change,2013 Team,2014 Team,2015 Team,2015 team,2016 team,Rank change,2017 team,Year accomplishments,2018 team,2019 team,2020 team
69,LeSean McCoy,Running back,,,69,2015.0,,,,,,Buffalo Bills,,40,,,,,
70,Carlos Dunlap,Defensive end,,,70,2015.0,,,,,,Cincinnati Bengals,,NR,,,,,
71,Calais Campbell,Defensive end,,,71,2015.0,,,,,,Arizona Cardinals,,28,,,,,
72,Doug Baldwin,Wide receiver,,,72,2015.0,,,,,,Seattle Seahawks,,NR,,,,,
73,Harrison Smith,Safety,,,73,2015.0,,,,,,Minnesota Vikings,,NR,,,,,
74,Emmanuel Sanders,Wide receiver,,,74,2015.0,,,,,,Denver Broncos,,21,,,,,
75,Jamaal Charles,Running back,,,75,2015.0,,,,,,Kansas City Chiefs,,63,,,,,
76,Linval Joseph,Defensive tackle,,,76,2015.0,,,,,,Minnesota Vikings,,NR,,,,,
77,Jordan Reed,Tight end,,,77,2015.0,,,,,,Washington Redskins,,NR,,,,,
78,Chris Ivory,Running back,,,78,2015.0,,,,,,New York Jets,Jacksonville Jaguars,NR,,,,,
79,Ryan Kalil,Center,,,79,2015.0,,,,,,Carolina Panthers,,NR,,,,,
80,Derrick Johnson,Linebacker,,,80,2015.0,,,,,,Kansas City Chiefs,,NR,,,,,
81,Alex Smith,Quarterback,,,81,2015.0,,,,,,Kansas City Chiefs,,NR,,,,,
82,Delanie Walker,Tight end,,,82,2015.0,,,,,,Tennessee Titans,,NR,,,,,
83,Telvin Smith,Linebacker,,,83,2015.0,,,,,,Jacksonville Jaguars,,NR,,,,,
84,Tamba Hali,Linebacker,,,84,2015.0,,,,,,Kansas City Chiefs,,14,,,,,
85,Kirk Cousins,Quarterback,,,85,2015.0,,,,,,Washington Redskins,,NR,,,,,
86,Jonathan Stewart,Running back,,,86,2015.0,,,,,,Carolina Panthers,,NR,,,,,
87,Julian Edelman,Wide receiver,,,87,2015.0,,,,,,New England Patriots,,4,,,,,
88,Cameron Heyward,Defensive end,,,88,2015.0,,,,,,Pittsburgh Steelers,,NR,,,,,
89,Allen Hurns,Wide receiver,,,89,2015.0,,,,,,Jacksonville Jaguars,,NR,,,,,
90,Matt Forte,Running back,,,90,2015.0,,,,,,Chicago Bears,New York Jets,42,,,,,
91,Travis Kelce,Tight end,,,91,2015.0,,,,,,Kansas City Chiefs,,NR,,,,,
92,Andrew Luck,Quarterback,,,92,2015.0,,,,,,Indianapolis Colts,,85,,,,,
93,Jeremy Maclin,Wide receiver,,,93,2015.0,,,,,,Kansas City Chiefs,,32,,,,,
94,Gary Barnidge,Tight end,,,94,2015.0,,,,,,Cleveland Browns,,NR,,,,,
95,Mike Daniels,Defensive tackle,,,95,2015.0,,,,,,Green Bay Packers,,NR,,,,,
96,Sammy Watkins,Wide receiver,,,96,2015.0,,,,,,Buffalo Bills,,NR,,,,,
97,Richie Incognito,Guard,,,97,2015.0,,,,,,Buffalo Bills,,NR,,,,,
98,Jarvis Landry,Wide receiver,,,98,2015.0,,,,,,Miami Dolphins,,NR,,,,,
99,Cameron Jordan,Defensive end,,,99,2015.0,,,,,,New Orleans Saints,,NR,,,,,
100,Derek Carr,Quarterback,,,100,2015.0,,,,,,Oakland Raiders,,NR,,,,,
1,Tom Brady,Quarterback,,,1,2016.0,,,,,,,New England Patriots,1,,"- 12th Pro Bowl selection
   - 2nd-Team AP All-Pro
   - Super Bowl LIMVP
   - Won 5th Super Bowl",,,
2,Von Miller,Linebacker,,,2,2016.0,,,,,,,Denver Broncos,13,,"- 5th Pro Bowl selection
   - 1st-Team AP All-Pro",,,
3,Julio Jones,Wide receiver,,,3,2016.0,,,,,,,Atlanta Falcons,5,,"- 4th Pro Bowl selection
   - 1st-Team AP All-Pro",,,
4,Antonio Brown,Wide receiver,,,4,2016.0,,,,,,,Pittsburgh Steelers,0,,"- 5th Pro Bowl selection
   - 1st-Team AP All-Pro",,,
5,Khalil Mack,Defensive end,,,5,2016.0,,,,,,,Oakland Raiders,8,,"- 2nd Pro Bowl selection
   - 1st-Team AP All-Pro
   - AP DPOY",,,
6,Aaron Rodgers,Quarterback,,,6,2016.0,,,,,,,Green Bay Packers,0,,"- 6th Pro Bowl selection
   - Passing touchdowns leader",,,
7,Ezekiel Elliott,Running back,,,7,2016.0,,,,,,,Dallas Cowboys,NR,,"- 4th overall pick in the 2016 NFL Draft
   - 1st Pro Bowl selection
   - 1st-Team AP All-Pro
   - Rushing yards leader
   - Highest ever ranking by a rookie",,,
8,Odell Beckham Jr.,Wide receiver,,,8,2016.0,,,,,,,New York Giants,2,,"- 3rd Pro Bowl selection
   - 2nd-Team AP All-Pro",,,
9,Le'Veon Bell,Running back,,,9,2016.0,,,,,,,Pittsburgh Steelers,32,,"- 2nd Pro Bowl selection
   - 2nd-Team AP All-Pro",,,
10,Matt Ryan,Quarterback,,,10,2016.0,,,,,,,Atlanta Falcons,NR,,"- 4th Pro Bowl selection
   - 1st-Team AP All-Pro
   - Passer rating leader
   - AP OPOY
   - AP MVP
   - Led the Atlanta Falcons to the franchise's 2nd Super Bowl appearance",,,
11,Derek Carr,Quarterback,,,11,2016.0,,,,,,,Oakland Raiders,89,,- 2nd Pro Bowl selection,,,
12,David Johnson,Running back,,,12,2016.0,,,,,,,Arizona Cardinals,NR,,"- 1st Pro Bowl selection
   - 1st-Team AP All-Pro (Flex)
   - 2nd-Team AP All-Pro (RB)",,,
13,Eric Berry,Safety,,,13,2016.0,,,,,,,Kansas City Chiefs,42,,"- 5th Pro Bowl selection
   - 1st-Team AP All-Pro",,,
14,Dak Prescott,Quarterback,,,14,2016.0,,,,,,,Dallas Cowboys,NR,,"- 135th overall pick in the 2016 NFL Draft
   - 1st Pro Bowl selection
   - AP OROY",,,
15,Aaron Donald,Defensive Tackle,,,15,2016.0,,,,,,,Los Angeles Rams,1,,"- 3rd Pro Bowl selection
   - 1st-Team AP All-Pro",,,
16,Drew Brees,Quarterback,,,16,2016.0,,,,,,,New Orleans Saints,14,,"- 10th Pro Bowl selection
   - Passing yards leader",,,
17,A.J. Green,Wide receiver,,,17,2016.0,,,,,,,Cincinnati Bengals,1,,- 6th Pro Bowl selection,,,
18,Tyron Smith,Offensive tackle,,,18,2016.0,,,,,,,Dallas Cowboys,24,,"- 4th Pro Bowl selection
   - 1st-Team AP All-Pro",,,
19,Patrick Peterson,Cornerback,,,19,2016.0,,,,,,,Arizona Cardinals,1,,- 6th Pro Bowl selection,,,
20,Luke Kuechly,Linebacker,,,20,2016.0,,,,,,,Carolina Panthers,13,,"- 4th Pro Bowl selection
   - 2nd-Team AP All-Pro",,,
21,Richard Sherman,Cornerback,,,21,2016.0,,,,,,,Seattle Seahawks,1,,- 4th Pro Bowl selection,,,
22,Ben Roethlisberger,Quarterback,,,22,2016.0,,,,,,,Pittsburgh Steelers,1,,- 5th Pro Bowl selection,,,
23,Rob Gronkowski,Tight end,,,23,2016.0,,,,,,,New England Patriots,14,,- Super Bowl champion (2nd time),,,
24,Russell Wilson,Quarterback,,,24,2016.0,,,,,,,Seattle Seahawks,7,,,,,
25,Joe Thomas,Offensive tackle,,,25,2016.0,,,,,,,Cleveland Browns,2,,"- 10th Pro Bowl selection
   - 1st-Team AP All-Pro",,,
26,Travis Kelce,Tight end,,,26,2016.0,,,,,,,Kansas City Chiefs,65,,"- 2nd Pro Bowl selection
   - 1st-Team AP All-Pro",,,
27,LeSean McCoy,Running back,,,27,2016.0,,,,,,,Buffalo Bills,42,,- 5th Pro Bowl selection,,,
28,Landon Collins,Safety,,,28,2016.0,,,,,,,New York Giants,NR,,"- 1st Pro Bowl selection
   - 1st-Team AP All-Pro",,,
29,Mike Evans,Wide receiver,,,29,2016.0,,,,,,,Tampa Bay Buccaneers,NR,,"- 1st Pro Bowl selection
   - 2nd-Team AP All-Pro",,,
30,Earl Thomas,Safety,,,30,2016.0,,,,,,,Seattle Seahawks,36,,,,,
31,Matthew Stafford,Quarterback,,,31,2016.0,,,,,,,Detroit Lions,NR,,,,,
32,Marcus Peters,Cornerback,,,32,2016.0,,,,,,,Kansas City Chiefs,33,,"- 2nd Pro Bowl selection
   - 1st-Team AP All-Pro",,,
33,DeMarco Murray,Running back,,,33,2016.0,,,,,,,Tennessee Titans,NR,,- 3rd Pro Bowl selection,,,
34,Kam Chancellor,Safety,,,34,2016.0,,,,,,,Seattle Seahawks,2,,,,,
35,J.J. Watt,Defensive end,,,35,2016.0,,,,,,,Houston Texans,32,,,,,
36,Tyreek Hill,Wide receiver,,,36,2016.0,,,,,,,Kansas City Chiefs,NR,,"- 165th overall pick in the 2016 NFL Draft
   - 1st Pro Bowl selection
   - 1st-Team AP All-Pro",,,
37,Aqib Talib,Cornerback,,,37,2016.0,,,,,,,Denver Broncos,3,,"- 4th Pro Bowl selection
   - 1st-Team AP All-Pro",,,
38,Fletcher Cox,Defensive tackle,,,38,2016.0,,,,,,,Philadelphia Eagles,11,,- 2nd Pro Bowl selection,,,
39,Bobby Wagner,Linebacker,,,39,2016.0,,,,,,,Seattle Seahawks,NR,,"- 3rd Pro Bowl selection
   - 1st-Team AP All-Pro
   - Tackles leader",,,
40,Vic Beasley,Linebacker,,,40,2016.0,,,,,,,Atlanta Falcons,NR,,"- 1st Pro Bowl selection
   - 1st-Team AP All-Pro
   - Sacks leader",,,
41,Devonta Freeman,Running back,,,41,2016.0,,,,,,,Atlanta Falcons,9,,- 2nd Pro Bowl selection,,,
42,Jarvis Landry,Wide receiver,,,42,2016.0,,,,,,,Miami Dolphins,56,,- 2nd Pro Bowl selection,,,
43,Marshal Yanda,Guard,,,43,2016.0,,,,,,,Baltimore Ravens,6,,"- 6th Pro Bowl selection
   - 2nd-Team AP All-Pro",,,
44,Cam Newton,Quarterback,,,44,2016.0,,,,,,,Carolina Panthers,43,,,,,
45,Larry Fitzgerald,Wide receiver,,,45,2016.0,,,,,,,Arizona Cardinals,18,,"- 10th Pro Bowl selection
   - Receptions leader
   - 2016 Walter Payton NFL Man of the Year Award",,,
46,Michael Bennett,Defensive end,,,46,2016.0,,,,,,,Seattle Seahawks,13,,- 2nd Pro Bowl selection,,,
47,Trent Williams,Offensive tackle,,,47,2016.0,,,,,,,Washington Redskins,2,,"- 5th Pro Bowl selection
   - 1st-Team AP All-Pro",,,
48,Jordy Nelson,Wide receiver,,,48,2016.0,,,,,,,Green Bay Packers,NR,,"- Receiving touchdowns leader
   - 2016 Comeback Player of the Year Award",,,
49,Jadeveon Clowney,Defensive end,,,49,2016.0,,,,,,,Houston Texans,NR,,"- 1st Pro Bowl selection
   - 1st-Team AP All-Pro",,,
50,Marcus Mariota,Quarterback,,,50,2016.0,,,,,,,Tennessee Titans,NR,,,,,
51,Andrew Luck,Quarterback,,,51,2016.0,,,,,,,Indianapolis Colts,41,,,,,
52,Gerald McCoy,Defensive tackle,,,52,2016.0,,,,,,,Tampa Bay Buccaneers,11,,"- 5th Pro Bowl selection
   - 2nd-Team AP All-Pro",,,
53,Amari Cooper,Wide receiver,,,53,2016.0,,,,,,,Oakland Raiders,NR,,- 2nd Pro Bowl selection,,,
54,Janoris Jenkins,Cornerback,,,54,2016.0,,,,,,,New York Giants,NR,,"- 1st Pro Bowl selection
   - 2nd-Team AP All-Pro",,,
55,Ndamukong Suh,Defensive tackle,,,55,2016.0,,,,,,,Miami Dolphins,15,,"- 5th Pro Bowl selection
   - 2nd-Team AP All-Pro",,,
56,Cliff Avril,Defensive end,,,56,2016.0,,,,,,,Seattle Seahawks,NR,,- 1st Pro Bowl selection,,,
57,Jameis Winston,Quarterback,,,57,2016.0,,,,,,,Tampa Bay Buccaneers,NR,,,,,
58,Zack Martin,Guard,,,58,2016.0,,,,,,,Dallas Cowboys,NR,,"- 3rd Pro Bowl selection
   - 1st-Team AP All-Pro",,,
59,Josh Norman,Cornerback,,,59,2016.0,,,,,,,Washington Redskins,48,,,,,
60,Dez Bryant,Wide receiver,,,60,2016.0,,,,,,,Dallas Cowboys,9,,- 3rd Pro Bowl selection,,,
61,T.Y. Hilton,Wide receiver,,,61,2016.0,,,,,,,Indianapolis Colts,NR,,"- 3rd Pro Bowl selection
   - Receiving yards leader",,,
62,Cameron Wake,Defensive end,,,62,2016.0,,,,,,,Miami Dolphins,NR,,"- 5th Pro Bowl selection
   - 2nd-Team AP All-Pro",,,
63,Chris Harris Jr.,Cornerback,,,63,2016.0,,,,,,,Denver Broncos,11,,"- 3rd Pro Bowl selection
   - 1st-Team AP All-Pro",,,
64,Casey Hayward,Cornerback,,,64,2016.0,,,,,,,San Diego / Los Angeles Chargers,NR,,"- 1st Pro Bowl selection
   - 2nd-Team AP All-Pro
   - Interceptions leader",,,
65,Jordan Reed,Tight end,,,65,2016.0,,,,,,,Washington Redskins,12,,- 1st Pro Bowl selection,,,
66,Xavier Rhodes,Cornerback,,,66,2016.0,,,,,,,Minnesota Vikings,NR,,- 1st Pro Bowl selection,,,
67,Greg Olsen,Tight end,,,67,2016.0,,,,,,,Carolina Panthers,29,,"- 3rd Pro Bowl selection
   - 2nd-Team AP All-Pro",,,
68,Geno Atkins,Defensive tackle,,,68,2016.0,,,,,,,Cincinnati Bengals,39,,"- 5th Pro Bowl selection
   - 1st-Team AP All-Pro",,,
69,Jay Ajayi,Running back,,,69,2016.0,,,,,,,Miami Dolphins,NR,,- 1st Pro Bowl selection,,,
70,Kirk Cousins,Quarterback,,,70,2016.0,,,,,,,Washington Redskins,15,,- 1st Pro Bowl selection,,,
71,Julian Edelman,Wide receiver,,,71,2016.0,,,,,,,New England Patriots,16,,- Super Bowl champion (2nd time),,,
72,Taylor Lewan,Offensive tackle,,,72,2016.0,,,,,,,Tennessee Titans,NR,,- 1st Pro Bowl selection,,,
73,Philip Rivers,Quarterback,,,73,2016.0,,,,,,,San Diego / Los Angeles Chargers,27,,- 6th Pro Bowl selection,,,
74,Harrison Smith,Safety,,,74,2016.0,,,,,,,Minnesota Vikings,1,,- 2nd Pro Bowl selection,,,
75,Delanie Walker,Tight end,,,75,2016.0,,,,,,,Tennessee Titans,7,,- 2nd Pro Bowl selection,,,
76,Justin Houston,Linebacker,,,76,2016.0,,,,,,,Kansas City Chiefs,50,,,,,
77,Ha Ha Clinton-Dix,Safety,,,77,2016.0,,,,,,,Green Bay Packers,NR,,"- 1st Pro Bowl selection
   - 2nd-Team AP All-Pro",,,
78,Brian Orakpo,Linebacker,,,78,2016.0,,,,,,,Tennessee Titans,NR,,- 4th Pro Bowl selection,,,
79,Sean Lee,Linebacker,,,79,2016.0,,,,,,,Dallas Cowboys,NR,,"- 2nd Pro Bowl selection
   - 1st-Team AP All-Pro",,,
80,LeGarrette Blount,Running back,,,80,2016.0,,,,,,,New England Patriots,NR,Philadelphia Eagles,"- Rushing touchdowns leader
   - Super Bowl champion (2nd time)",,,
81,Alex Smith,Quarterback,,,81,2016.0,,,,,,,Kansas City Chiefs,0,,- 2nd Pro Bowl selection,,,
82,Clay Matthews,Linebacker,,,82,2016.0,,,,,,,Green Bay Packers,25,,,,,
83,Calais Campbell,Defensive end,,,83,2016.0,,,,,,,Arizona Cardinals,12,Jacksonville Jaguars,- 2nd-Team AP All-Pro,,,
84,Mike Daniels,Defensive tackle,,,84,2016.0,,,,,,,Green Bay Packers,11,,,,,
85,Chandler Jones,Linebacker,,,85,2016.0,,,,,,,Arizona Cardinals,37,,,,,
86,Jurrell Casey,Defensive tackle,,,86,2016.0,,,,,,,Tennessee Titans,NR,,- 2nd Pro Bowl selection,,,
87,Travis Frederick,Center,,,87,2016.0,,,,,,,Dallas Cowboys,NR,,"- 3rd Pro Bowl selection
   - 1st-Team AP All-Pro",,,
88,Doug Baldwin,Wide receiver,,,88,2016.0,,,,,,,Seattle Seahawks,16,,- 1st Pro Bowl selection,,,
89,Thomas Davis,Linebacker,,,89,2016.0,,,,,,,Carolina Panthers,35,,- 2nd Pro Bowl selection,,,
90,Malcolm Jenkins,Safety,,,90,2016.0,,,,,,,Philadelphia Eagles,NR,,- No. 107 in the 2016 chart[2],,,
91,Lorenzo Alexander,Linebacker,,,91,2016.0,,,,,,,Buffalo Bills,NR,,"- 2nd Pro Bowl selection
   - 2nd-Team AP All-Pro",,,
92,Everson Griffen,Defensive end,,,92,2016.0,,,,,,,Minnesota Vikings,NR,,- 2nd Pro Bowl selection,,,
93,Brandon Graham,Defensive end,,,93,2016.0,,,,,,,Philadelphia Eagles,NR,,- 2nd-Team AP All-Pro,,,
94,Dont'a Hightower,Linebacker,,,94,2016.0,,,,,,,New England Patriots,NR,,"- 1st Pro Bowl selection
   - 2nd-Team AP All-Pro
   - Super Bowl champion (2nd time)",,,
95,Kelechi Osemele,Guard,,,95,2016.0,,,,,,,Oakland Raiders,NR,,"- 1st Pro Bowl selection
   - 1st-Team AP All-Pro",,,
96,Damon Harrison,Defensive tackle,,,96,2016.0,,,,,,,New York Giants,NR,,- 1st-Team AP All-Pro,,,
97,David DeCastro,Guard,,,97,2016.0,,,,,,,Pittsburgh Steelers,NR,,"- 2nd Pro Bowl selection
   - 2nd-Team AP All-Pro",,,
98,Adrian Peterson,Running back,,,98,2016.0,,,,,,,Minnesota Vikings,93,New Orleans Saints/Arizona Cardinals,,,,
99,Malcolm Butler,Cornerback,,,99,2016.0,,,,,,,New England Patriots,NR,,"- 2nd-Team AP All-Pro
   - Super Bowl champion (2nd time)",,,
100,Joey Bosa,Defensive end,,,100,2016.0,,,,,,,San Diego / Los Angeles Chargers,NR,,"- 3rd overall pick in the 2016 NFL Draft
   - AP DROY",,,
1,Tom Brady,Quarterback,,,1,2017.0,,,,,,,,0,New England Patriots,"- 13th Pro Bowl selection
   - 3rd First-team All-Pro selection
   - AP MVP
   - Passing yards leader",,,
2,Antonio Brown,Wide receiver,,,2,2017.0,,,,,,,,2,Pittsburgh Steelers,"- 6th Pro Bowl selection
   - 4th First-team All-Pro selection
   - First player to ever record 100+ receptions, 1200+ receiving yards and 
   5+ receiving touchdowns in 5 consecutive seasons.",,,
3,Carson Wentz,Quarterback,,,3,2017.0,,,,,,,,NR,Philadelphia Eagles,"- 1st Pro Bowl selection
   - 1st Second-team All-Pro selection
   - Bert Bell Award
   - Super Bowl champion (1st time)",,,
4,Julio Jones,Wide receiver,,,4,2017.0,,,,,,,,1,Atlanta Falcons,"- 5th Pro Bowl selection
   - 1st Second-team All-Pro selection
   - 1 of 2 players to ever record 1400+ receiving yards in 4 consecutive 
   seasons (Marvin Harrison)
   - 1 of 3 players with 1400+ receiving yards, but with <90 catches (Jerry 
   Rice, Randy Moss)",,,
5,Le'Veon Bell,Running back,,,5,2017.0,,,,,,,,4,Pittsburgh Steelers,"- 3rd Pro Bowl selection
   - 2nd First-team All-Pro selection
   - Most average scrimmage yards per game since 2013 (129.0)
   - Most scrimmage yards by a Steeler in his first 5 seasons (7,996 yards)",,,
6,Todd Gurley,Running back,,,6,2017.0,,,,,,,,NR,Los Angeles Rams,"- 2nd Pro Bowl selection
   - 1st First-team All-Pro selection
   - AP OPOY
   - Rushing touchdowns leader
   - All-purpose-yards leader in 2017
   - Highest percentage of team offensive yards in 2017 (5976 of 20983 
   yards, or 35.8%)
   - 4th NFL RB to record 2000+ scrimmage yards and 15+ total touchdowns in 
   a season (Eric Dickerson, Marshall Faulk, Steven Jackson)",,,
7,Aaron Donald,Defensive tackle,,,7,2017.0,,,,,,,,8,Los Angeles Rams,"- 4th Pro Bowl selection
   - 3rd First-team All-Pro selection
   - AP DPOY
   - Leads all DT's with 11 sacks and 27 QB hits in 2017
   - Only player with 25+ QB hits, 10+ sacks and 5 Forced fumbles in 2017",,,
8,Drew Brees,Quarterback,,,8,2017.0,,,,,,,,8,New Orleans Saints,"- 11th Pro Bowl selection
   - 4-time Pass completion percentage leader (72.0%, surpassed his own 
   record set last season)
   - No. 2 Passing yard leader (71,938 yards, behind Peyton Manning, needs 
   1,496 yards to surpass him.)",,,
9,Von Miller,Linebacker,,,9,2017.0,,,,,,,,7,Denver Broncos,"- 6th Pro Bowl selection
   - 3rd Second-team All-Pro selection
   - Most sacks since 2011 (83.5), 4th most all time in 7 seasons (Reggie 
   White, DeMarcus Ware, Derrick Thomas)",,,
10,Aaron Rodgers,Quarterback,,,10,2017.0,,,,,,,,4,Green Bay Packers,"- Highest ever career Passer rating (103.8) and Touchdown-Interception 
   Ratio (313-79)",,,
11,Russell Wilson,Quarterback,,,11,2017.0,,,,,,,,13,Seattle Seahawks,"- 4th Pro Bowl selection
   - NFL passing touchdowns leader (34, his career high)
   - Most wins by QB in first 6 seasons (65)
   - Led all QB's with 134.1 Passer rating in 4th quarter in 2017",,,
12,Luke Kuechly,Linebacker,,,12,2017.0,,,,,,,,8,Carolina Panthers,"- 5th Pro Bowl selection
   - 4th First-team All-Pro selection, first defensive player to do so 
   since 2013
   - Art Rooney Award winner
   - 100+ tackles in all 6 season in NFL
   - Most tackles in NFL since 2012 with 818",,,
13,DeAndre Hopkins,Wide receiver,,,13,2017.0,,,,,,,,NR ( 90),Houston Texans,"- 2nd Pro Bowl selection
   - 1st First-team All-Pro selection
   - 2017 NFL receiving touchdowns leader (13, which is also a Texans 
   franchise record)
   - Only player with 100+ receptions and 10+ receiving touchdowns in 2017
   - No. 103 in the 2017 chart[3]",,,
14,Calais Campbell,Defensive end,,,14,2017.0,,,,,,,,69,Jacksonville Jaguars,"- 3rd Pro Bowl selection
   - 1st First-team All-Pro selection
   - PFWA NFL Defensive Player of the Year",,,
15,Rob Gronkowski,Tight end,,,15,2017.0,,,,,,,,8,New England Patriots,"- 5th Pro Bowl selection
   - 5th First-team All-Pro selection
   - 76 receiving TD's since 2010, 1st in the NFL
   - 3rd all time in career receiving touchdowns by a tight end
   - NFL leader for receiving yards by a tight end in 2017 (1,084)",,,
16,Khalil Mack,Defensive end,,,16,2017.0,,,,,,,,11,Oakland Raiders,"- 3rd Pro Bowl selection
   - Named in 2 or more separate Pro Bowls in different positions (Defensive 
   end, Outside Linebacker)
   - Traded after the full list was revealed",Chicago Bears,,
17,Jalen Ramsey,Cornerback,,,17,2017.0,,,,,,,,NR,Jacksonville Jaguars,"- 1st Pro Bowl selection
   - 1st First-team All-Pro selection",,,
18,Ben Roethlisberger,Quarterback,,,18,2017.0,,,,,,,,4,Pittsburgh Steelers,"- 6th Pro Bowl selection
   - Most 500+ passing yard games in NFL history (3)",,,
19,Everson Griffen,Defensive end,,,19,2017.0,,,,,,,,73,Minnesota Vikings,"- 3rd Pro Bowl selection
   - 1st Second-team All-Pro selection",,,
20,Alvin Kamara,Running back,,,20,2017.0,,,,,,,,NR,New Orleans Saints,"- 1st Pro Bowl Selection
   - Second-team All-Pro (2017)
   - AP NFL Offensive Rookie of the Year (2017)
   - Pepsi NFL Rookie of the Year (2017)
   - PFWA All-Rookie Team (2017)
   - 1st rookie since Gale Sayers to record 5 rushing and receiving 
   touchdowns with a kickoff return touchdown.
   - 1st rookie since Charley Taylor with 700+ rushing and 700+ receiving 
   yards in a season.
   - Leads NFL in yards per carry (6.07), 2nd in rushing touchdowns (14)",,,
21,Bobby Wagner,Linebacker,,,21,2017.0,,,,,,,,18,Seattle Seahawks,"- 4th Pro Bowl selection
   - 3rd First team All-Pro selection",,,
22,A. J. Green,Wide receiver,,,22,2017.0,,,,,,,,5,Cincinnati Bengals,"- 7th Pro Bowl selection
   - 1000 receiving yards in 7 of 8 seasons",,,
23,Patrick Peterson,Cornerback,,,23,2017.0,,,,,,,,4,Arizona Cardinals,"- 7th Pro Bowl selection
   - 5 Career Pro Bowl interceptions",,,
24,Travis Kelce,Tight end,,,24,2017.0,,,,,,,,2,Kansas City Chiefs,"- 3rd Pro Bowl selection
   - Second team All-Pro selection
   - Led all TE's in catches (83) and yards-after-catches",,,
25,Cam Newton,Quarterback,,,25,2017.0,,,,,,,,19,Carolina Panthers,"- Career-high in rushing yards (754 yards)
   - 3rd All-time in rushing yards by a quarterback",,,
26,Cameron Jordan,Defensive end,,,26,2017.0,,,,,,,,NR,New Orleans Saints,"- 3rd Pro Bowl selection
   - 1st First team All-Pro selection
   - 13 sacks in 2017",,,
27,Larry Fitzgerald,Wide receiver,,,27,2017.0,,,,,,,,18,Arizona Cardinals,"- 11th Pro Bowl selection
   - 2nd in Pro Bowl appearances amongst active player on the Top 100 list (Tom 
   Brady, 13)
   - Oldest player to record 100-catch and 1000+ receiving yard and 5+ 
   touchdown season, 3rd consecutive season to reach the mark.",,,
28,Chandler Jones,Defensive end,,,28,2017.0,,,,,,,,57,Arizona Cardinals,"- 2nd Pro Bowl selection
   - 1st First team All-Pro selection
   - NFL Sacks leader (17) and Tackles-for-losses leader (28)",,,
29,Matt Ryan,Quarterback,,,29,2017.0,,,,,,,,19,Atlanta Falcons,"- Fastest player to reach 40,000 passing yards (151 games)",,,
30,LeSean McCoy,Running back,,,30,2017.0,,,,,,,,3,Buffalo Bills,"- 6th Pro Bowl selection, with 5th in a row
   - 30th NFL player to rush for 10,000 yards in their career",,,
31,Matthew Stafford,Quarterback,,,31,2017.0,,,,,,,,0,Detroit Lions,"- 31,947 passing yards, 2nd in NFL since 2011 (Drew Brees, 35,179 yards)",,,
32,Jadeveon Clowney,Defensive end,,,32,2017.0,,,,,,,,17,Houston Texans,"- 2nd Pro Bowl selection
   - Career high in sacks (9.5), QB hits, Tackles, Forced Fumbles and 
   Fumble Recoveries
   - 1 of 2 players with 20+ QB hits and 20+ tackles for losses (Chandler 
   Jones)
   - 2nd with 21 tackles for losses (Chandler Jones, 28)",,,
33,Kareem Hunt,Running back,,,33,2017.0,,,,,,,,NR,Kansas City Chiefs,"- 1st Pro Bowl selection
   - PFWA All-Rookie Team
   - NFL rushing yards leader
   - PFWA Rookie of the Year
   - Most total scrimmage yards on debut (246 yards)
   - Led all 2017 rookie with 1782 total scrimmage yards, as well as 
   rushing yards (1327), and yards after contact (839)
   - 6th rookie to win rushing title in rookie season in Super Bowl Era (Ezekiel 
   Elliott was the previous winner in 2016)",,,
34,DeMarcus Lawrence,Defensive end,,,34,2017.0,,,,,,,,NR,Dallas Cowboys,"- 1st Pro Bowl selection
   - 1st 2nd-team All-Pro selection
   - Tied 2nd with 14.5 sacks in 2017 (Chandler Jones).
   - Most sacks in a season by a Cowboy since DeMarcus Ware in 2011",,,
35,A. J. Bouye,Cornerback,,,35,2017.0,,,,,,,,NR,Jacksonville Jaguars,"- 1st Pro Bowl selection
   - 1st 2nd-team All-Pro selection
   - 41.7 Passer rating allowed, best amongst CB's with 50+ targets, with 
   no receiving touchdowns allowed",,,
36,Adam Thielen,Wide receiver,,,36,2017.0,,,,,,,,NR,Minnesota Vikings,"- 1st Pro Bowl selection
   - 1st 2nd-team All-Pro selection
   - 5th in Receiving yards in 2017
   - 1 of 3 undrafted playerswith a season with 90+ receptions and 1200+ 
   season in Super-Bowl Era (Wes Welker, Rod Smith)
   - 2nd in 3rd down receptions with 33 in 2017 (Keenan Allen, 26)",,,
37,Joey Bosa,Defensive end,,,37,2017.0,,,,,,,,63,Los Angeles Chargers,"- 1st Pro Bowl selection
   - 1 of 2 players with 70+ tackles and 10+ sacks (Khalil Mack)",,,
38,Jared Goff,Quarterback,,,38,2017.0,,,,,,,,NR,Los Angeles Rams,"- 1st Pro Bowl selection
   - Largest Passer rating increase in NFL between 2016-2017 (+36.9)
   - 1 of 5 players in NFL history to have passer rating of 100+ in second 
   season (Kurt Warner, Dan Marino, Carson Wentz, Russell Wilson)",,,
39,Tyron Smith,Offensive tackle,,,39,2017.0,,,,,,,,21,Dallas Cowboys,"- 5th Pro Bowl selection
   - 2nd straight year as highest-ranked offensive lineman
   - 1 of 2 tackles to make the last 5 Pro Bowls (Trent Williams)",,,
